Game Name,AppID,Owners,Players (2 Weeks),Peak Players,Average Playtime (Lifetime),Average Playtime (2 Weeks),Price,Developer,Publisher,Genres
Serena,272060,"10,000,000 .. 20,000,000",0,1,764,0,0,Senscape,Senscape,
Hogwarts Legacy,990080,"10,000,000 .. 20,000,000",439,11242,2027,439,5999,Avalanche Software,Warner Bros. Games,
Portal 2,620,"10,000,000 .. 20,000,000",85,1994,1144,85,999,Valve,Valve,
Rocket League,252950,"10,000,000 .. 20,000,000",252,14951,15068,252,0,Psyonix LLC,Psyonix LLC,
Battlefield 2042,1517290,"10,000,000 .. 20,000,000",821,16122,2470,821,5999,DICE,Electronic Arts,
Lethal Company,1966720,"10,000,000 .. 20,000,000",126,17894,1360,126,999,Zeekerss,Zeekerss,
Monster Hunter: World,582010,"10,000,000 .. 20,000,000",913,90804,7437,913,2999,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",
Halo Infinite,1240440,"10,000,000 .. 20,000,000",275,2784,728,275,0,343 Industries,Xbox Game Studios,
Half-Life,70,"10,000,000 .. 20,000,000",9,3628,441,9,999,Valve,Valve,
Counter-Strike: Source,240,"10,000,000 .. 20,000,000",59,9709,5862,59,999,Valve,Valve,
Project Zomboid,108600,"10,000,000 .. 20,000,000",530,27746,3586,530,1999,The Indie Stone,The Indie Stone,
鬼谷八荒 Tale of Immortal,1468810,"10,000,000 .. 20,000,000",879,6848,5403,879,1999,鬼谷工作室,"鬼谷工作室, Lightning Games",
World of Tanks Blitz,444200,"10,000,000 .. 20,000,000",0,11471,2837,0,0,Wargaming Group Limited,Wargaming Group Limited,
Raft,648800,"10,000,000 .. 20,000,000",95,8251,1511,95,1999,Redbeet Interactive,Axolot Games,
SMITE,386360,"10,000,000 .. 20,000,000",100,3783,5667,100,0,Titan Forge Games,Hi-Rez Studios,
Ring of Elysium,755790,"10,000,000 .. 20,000,000",0,0,587,0,0,Aurora Studio,TCH Scarlet Limited,
Red Dead Redemption 2,1174180,"10,000,000 .. 20,000,000",270,32518,4759,270,5999,Rockstar Games,Rockstar Games,
The Binding of Isaac: Rebirth,250900,"10,000,000 .. 20,000,000",231,41407,11502,231,1499,"Nicalis, Inc., Edmund McMillen","Nicalis, Inc.",
Black Squad,550650,"10,000,000 .. 20,000,000",0,420,874,0,0,"VALOFE, NS STUDIO",VALOFE,
Dying Light,239140,"10,000,000 .. 20,000,000",174,10294,2288,174,1999,Techland,Techland,
Portal,400,"10,000,000 .. 20,000,000",1,802,460,1,999,Valve,Valve,
Robocraft,301520,"10,000,000 .. 20,000,000",0,97,1791,0,0,Freejam,Freejam,
Hollow Knight,367520,"10,000,000 .. 20,000,000",695,8010,1812,695,1499,Team Cherry,Team Cherry,
Human Fall Flat,477160,"10,000,000 .. 20,000,000",0,2870,517,0,1999,No Brakes Games,Curve Games,
Sekiro: Shadows Die Twice - GOTY Edition,814380,"10,000,000 .. 20,000,000",1,7356,2382,1,5999,"FromSoftware, Inc.","Activision (Excluding Japan and Asia), FromSoftware, Inc. (Japan), 方块游戏 (Asia)",
Street Warriors Online,417910,"10,000,000 .. 20,000,000",0,0,19,0,199,Crazy Rocks Studios,Crazy Rocks Studios,
Z1 Battle Royale,433850,"10,000,000 .. 20,000,000",0,771,3196,0,0,Daybreak Game Company,Daybreak Game Company,
The Sims 4,1222670,"10,000,000 .. 20,000,000",191,27206,1622,191,0,Maxis,Electronic Arts,
Hunt: Showdown 1896,594650,"10,000,000 .. 20,000,000",755,16811,8363,755,2999,Crytek,Crytek,
Mount & Blade II: Bannerlord,261550,"10,000,000 .. 20,000,000",596,24040,7302,596,4999,TaleWorlds Entertainment,TaleWorlds Entertainment,
Trove,304050,"10,000,000 .. 20,000,000",0,1069,1361,0,0,gamigo US Inc.,gamigo US Inc.,
Sid Meier's Civilization V,8930,"10,000,000 .. 20,000,000",10035,15503,25956,10035,2999,"Firaxis Games, Aspyr (Mac), Aspyr (Linux)","2K, Aspyr (Mac), Aspyr (Linux)",
Life is Strange 2,532210,"10,000,000 .. 20,000,000",597,163,324,597,3196,"DONTNOD Entertainment, Feral Interactive (Mac), Feral Interactive (Linux)","Square Enix, Feral Interactive (Mac), Feral Interactive (Linux)",
Fallout 4,377160,"10,000,000 .. 20,000,000",1368,13680,6473,1368,1999,Bethesda Game Studios,Bethesda Softworks,
7 Days to Die,251570,"10,000,000 .. 20,000,000",701,30949,4605,701,4499,The Fun Pimps,The Fun Pimps Entertainment LLC,
Cities: Skylines,255710,"5,000,000 .. 10,000,000",401,14526,3609,401,2999,Colossal Order Ltd.,Paradox Interactive,
Sid Meier’s Civilization VI,289070,"5,000,000 .. 10,000,000",571,53001,5295,571,5999,"Firaxis Games, Aspyr (Mac), Aspyr (Linux)","2K, Aspyr (Mac), Aspyr (Linux)",
Arma 3,107410,"5,000,000 .. 10,000,000",83,10093,10711,83,2999,Bohemia Interactive,Bohemia Interactive,
Satisfactory,526870,"5,000,000 .. 10,000,000",1552,24852,3643,1552,3999,Coffee Stain Studios,Coffee Stain Publishing,
Ricochet,60,"5,000,000 .. 10,000,000",0,3,15,0,499,Valve,Valve,
Battlefield V,1238810,"5,000,000 .. 10,000,000",206,19510,3148,206,4999,DICE,Electronic Arts,
DayZ,221100,"5,000,000 .. 10,000,000",1243,39473,15141,1243,4999,Bohemia Interactive,Bohemia Interactive,
PlanetSide 2,218230,"5,000,000 .. 10,000,000",362,975,2467,362,0,Rogue Planet Games,Daybreak Game Company,
The Elder Scrolls V: Skyrim,72850,"5,000,000 .. 10,000,000",396,1991,6827,396,1999,Bethesda Game Studios,Bethesda Softworks,
NBA 2K20,1089350,"5,000,000 .. 10,000,000",0,479,9063,0,0,Visual Concepts,2K,
Castle Crashers,204360,"5,000,000 .. 10,000,000",19,443,504,19,1499,The Behemoth,The Behemoth,
EA SPORTS FIFA 23,1811260,"5,000,000 .. 10,000,000",412,3050,12023,412,0,EA Canada &amp; EA Romania,Electronic Arts,
The Tiny Bang Story,96000,"5,000,000 .. 10,000,000",0,15,281,0,99,Colibri Games,Colibri Games,
Hearts of Iron IV,394360,"5,000,000 .. 10,000,000",979,67657,18811,979,1499,Paradox Development Studio,Paradox Interactive,
Risk of Rain 2,632360,"5,000,000 .. 10,000,000",205,5785,3397,205,2499,Hopoo Games,Gearbox Publishing,
